88: [0.6369403600692749, 0.11705786929477491, 0.999723494052887, 0.0387078369663274], [6, 2GB, 29GB, 43MB]
89: [0.6211495399475098, 0.006837913300842047, 0.9993417263031006, 1.0], [6, 295MB, 29GB, 1GB]
90: [0.623301088809967, 0.01402114424854517, 0.9967660903930664, 1.0], [6, 470MB, 29GB, 1GB]
91: [0.6182664632797241, 0.9352629086037977, 0.1883430784330069, 6.641065261191355e-15], [6, 22GB, 8GB, 4MB]
92: [0.9673422647363511, 0.25134146213531494, 1.0, 1.0], [8, 6GB, 30GB, 1GB]
93: [0.5984742641448975, 0.03559780865907669, 0.7131104267315977, 1.0], [6, 998MB, 22GB, 1GB]
94: [0.6015260219573975, 0.35931506248110234, 0.9995906352996826, 0.8810499283806688], [6, 8GB, 29GB, 902MB]
95: [0.6009079217910767, 0.005202436354011297, 1.0, 1.0], [6, 255MB, 30GB, 1GB]
96: [0.651256799697876, 0.9992871880531311, 0.0004864137154072523, 2.041007292064023e-06], [6, 23GB, 4GB, 4MB]
97: [0.8661156482926846, 0.9999995827674866, 7.695938961660431e-07, 8.541183038612843e-11], [7, 23GB, 4GB, 4MB]
98: [0.7738609642776244, 1.0, 0.8277965797457089, 3.618802683356189e-17], [7, 24GB, 25GB, 4MB]
99: [0.5988864898681641, 0.9999853372573853, 8.564188247461857e-10, 0.16815096721603073], [6, 23GB, 4GB, 175MB]
100: [0.6071152687072754, 0.9999977350234985, 3.856239771948822e-09, 9.018740615429621e-11], [6, 23GB, 4GB, 4MB]
101: [0.5858285427093506, 0.9999920129776001, 8.424701292142345e-08, 2.111880448296688e-09], [6, 23GB, 4GB, 4MB]
102: [0.1943681456814491, 0.02872195327971383, 0.2365458799233633, 1.0], [3, 830MB, 10GB, 1GB]
103: [0.6099668145179749, 0.8322977467112267, 2.1499466651420107e-09, 6.063777409880122e-13], [6, 19GB, 4GB, 4MB]
104: [0.5878875255584717, 0.9999977946281433, 1.0709553903420765e-13, 2.843315962178499e-16], [6, 23GB, 4GB, 4MB]
105: [0.5920026898384094, 0.9999980926513672, 0.9883497629555019, 0.3439810863259909], [6, 23GB, 29GB, 354MB]
106: [0.5944659113883972, 0.9999995827674866, 3.3844524405246545e-12, 8.189667090703761e-18], [6, 23GB, 4GB, 4MB]
107: [0.5793416500091553, 0.999998152256012, 0.7102706906143289, 1.6910177956259292e-13], [5, 23GB, 22GB, 4MB]
108: [0.019856621939199237, 0.8462953567504883, 4.157258304965383e-12, 4.1248018997804003e-13], [2, 20GB, 4GB, 4MB]
109: [0.6024916768074036, 0.9999995231628418, 1.3976566431983528e-11, 0.6756649386859863], [6, 23GB, 4GB, 693MB]
110: [0.619028627872467, 1.0, 2.3153823747179558e-07, 9.430787706321553e-09], [6, 24GB, 4GB, 4MB]
111: [0.22410702367810986, 0.18270498514175415, 0.792497575721143, 0.9999999403953552], [3, 4GB, 24GB, 1023MB]
112: [0.6025016903877258, 0.2237955926383074, 1.0, 1.0], [6, 5GB, 30GB, 1GB]
113: [0.6114208698272705, 1.0, 1.3889426934976523e-11, 4.536799755316956e-12], [6, 24GB, 4GB, 4MB]
114: [0.5928347110748291, 1.0, 0.7204427175954919, 0.00012428044283296913], [6, 24GB, 22GB, 4MB]
115: [0.6121411919593811, 0.9999998211860657, 2.99284513838316e-10, 1.443102229511592e-14], [6, 23GB, 4GB, 4MB]
116: [0.5871354341506958, 0.9231796983487692, 3.655257249223637e-13, 0.00599789644568971], [6, 22GB, 4GB, 10MB]
117: [0.5111613869667053, 0.09851151520557266, 0.9999785423278809, 0.9999998211860657], [5, 2GB, 29GB, 1023MB]
118: [0.7119621853453636, 0.2782510817050934, 0.9999825954437256, 0.9999998807907104], [6, 6GB, 29GB, 1023MB]
119: [0.436862587928772, 0.5750735537897981, 0.8802555194340772, 0.9999949336051941], [5, 13GB, 26GB, 1023MB]
120: [0.44294705986976624, 0.001499761245213449, 0.9699565172195435, 0.9999995231628418], [5, 164MB, 29GB, 1023MB]
121: [0.45311951637268066, 0.003391842357814312, 0.6358850002288818, 0.7382351791730666], [5, 210MB, 20GB, 756MB]
122: [0.47153371572494507, 0.09023953749159697, 0.9997814297676086, 0.9999980926513672], [5, 2GB, 29GB, 1023MB]
123: [0.14896191795666847, 0.22700190544128418, 0.8753475546836853, 0.9999986886978149], [3, 5GB, 26GB, 1023MB]
124: [0.4751754105091095, 0.44741006025066266, 0.9953348636627197, 0.9999998807907104], [5, 10GB, 29GB, 1023MB]
125: [0.4798809885978699, 0.00294319330714643, 0.9748850464820862, 0.9999945759773254], [5, 199MB, 29GB, 1023MB]
126: [0.4761805236339569, 0.011266828514635563, 0.9486671090126038, 0.9999976754188538], [5, 403MB, 28GB, 1023MB]
127: [0.4554872214794159, 0.005698758643120527, 0.9929933547973633, 1.0], [5, 267MB, 29GB, 1GB]
128: [0.44704046845436096, 0.0056050666607916355, 0.9911059141159058, 1.0], [5, 265MB, 29GB, 1GB]
129: [0.4387623965740204, 0.0036194678395986557, 0.7210535407066345, 0.9999995231628418], [5, 216MB, 22GB, 1023MB]
130: [0.35698796334181615, 0.6401427896569581, 0.04405604675412178, 0.0990215390920639], [4, 15GB, 5GB, 105MB]
131: [0.24604923756453967, 0.06283588707447052, 0.04990892857313156, 0.9985623955726624], [3, 1GB, 5GB, 1022MB]
132: [0.41262975335121155, 0.9341358550244421, 9.139563189819455e-05, 0.00029508257284760475], [4, 22GB, 4GB, 4MB]
133: [0.38970863819122314, 0.006020070984959602, 0.003794450545683503, 0.9946815967559814], [4, 275MB, 4GB, 1018MB]
134: [0.8795261009329534, 0.47225186228752136, 0.4124125914571197, 1.0], [7, 11GB, 14GB, 1GB]
135: [0.21621157228946686, 0.025872215628623962, 0.27005812525749207, 0.999993622303009], [3, 760MB, 11GB, 1023MB]
136: [0.23628665506839752, 0.5531204339168044, 0.13850475487181502, 0.008500923402607441], [3, 13GB, 7GB, 12MB]
137: [0.21267226338386536, 0.04491874948143959, 0.7992929816246033, 0.9534097561382898], [3, 1GB, 24GB, 976MB]
138: [0.2043551504611969, 0.05618546903133392, 0.3760168937257904, 1.0], [3, 1GB, 13GB, 1GB]
139: [0.1956675797700882, 0.13209855556488037, 0.9995085000991821, 1.0], [3, 3GB, 29GB, 1GB]
140: [0.6714343597064386, 0.09453583508729935, 0.22734154760837555, 0.9999985098838806], [6, 2GB, 9GB, 1023MB]
141: [0.9973803472503109, 0.7927975654602051, 0.04986875131726265, 0.0032920155208557844], [8, 19GB, 5GB, 7MB]
142: [0.24485884177273487, 0.9972692131996155, 1.4541059911721277e-08, 1.387440162758935e-09], [3, 23GB, 4GB, 4MB]
143: [0.1899549812078476, 0.8921011380172498, 0.3074016709563725, 3.5580130770540563e-06], [3, 21GB, 11GB, 4MB]
144: [0.1920943558216095, 0.9994216561317444, 0.6156222569233373, 2.4428101824014448e-05], [3, 23GB, 20GB, 4MB]
145: [0.8156970708364143, 0.6735028028488159, 0.016439058115721328, 0.8987706904729249], [7, 16GB, 4GB, 920MB]
146: [0.6528693628591482, 0.6529321074485779, 0.3697926998138428, 0.11018424481153488], [6, 15GB, 13GB, 116MB]
147: [0.17673374226026972, 0.9773707985877991, 3.0326493288157508e-05, 4.679816265706904e-05], [3, 23GB, 4GB, 4MB]
148: [0.21653123199939728, 0.8259551525115967, 0.6478649091606468, 0.20960289239883423], [3, 19GB, 20GB, 217MB]
149: [0.1910150647163391, 0.840656042098999, 0.00020993292855564505, 0.0002218836307292804], [3, 20GB, 4GB, 4MB]
150: [0.25205937027931213, 0.6047958731651306, 0.012905710376799107, 0.1763166657912707], [4, 14GB, 4GB, 183MB]
